policy,cell_code,initial_c_rate,switch_soc_percent,post_switch_c_rate,max_cycles,policy_note
1C_4PER_6C,460518,1.0,4,6.0,326,standard
2C_10PER_6C,460605,2.0,10,6.0,170,standard
2C_2PER_5C,460602,2.0,2,5.0,464,standard
2C_7PER_5_5C,460673,2.0,7,5.5,361,standard
3_6C-80PER_3_6C,460514,3.6,80,3.6,1189,standard
3_6C-80PER_3_6C,460623,3.6,80,3.6,1176,standard
3_6C_22PER_5_5C,460655,3.6,22,5.5,471,standard
3_6C_2PER_4_85C,460635,3.6,2,4.85,507,standard
3_6C_30PER_6C,460634,3.6,30,6.0,545,standard
3_6C_30PER_6C,739496,3.6,30,6.0,445,standard
3_6C_80PER_3_6C_SLOWCYCLE,737235,3.6,80,3.6,101,standard
3_6C_9PER_5C,460451,3.6,9,5.0,596,standard
3_6C_9PER_5C,737391,3.6,9,5.0,409,standard
3_6C_9PER_5C_SLOWCYCLE,737260,3.6,9,5.0,434,standard
3_7C_31PER_5_9C_NEWSTRUCTURE,737234,3.7,31,5.9,540,standard
3_7C_31PER_5_9C_NEWSTRUCTURE,737366,3.7,31,5.9,771,standard
4C-80PER_4C,464977,4.0,80,4.0,1225,standard
4C_13PER_5C,460466,4.0,13,5.0,505,standard
4C_31PER_5,460510,4.0,31,5.0,491,standard
4C_40PER_6C,463208,4.0,40,6.0,520,standard
4C_4PER_4_85C,460449,4.0,4,4.85,509,standard
4_4C-80PER_4_4C,464883,4.4,80,4.4,1073,standard
4_4C_24PER_5C,460478,4.4,24,5.0,525,standard
4_4C_47PER_5_5C,460480,4.4,47,5.5,523,standard
4_4C_55PER_6C,440551,4.4,55,6.0,489,standard
4_4C_8PER_4_85C,460652,4.4,8,4.85,531,standard
4_65C_19PER_4_85C,460603,4.65,19,4.85,520,standard
4_65C_44PER_5C,463245,4.65,44,5.0,540,standard
4_65C_44PER_5C,737362,4.65,44,5.0,493,standard
4_65C_69PER_6C,460501,4.65,69,6.0,562,standard
4_65C_69PER_6C,737376,4.65,69,6.0,464,standard
4_8C-80PER_4_8C,463886,4.8,80,4.8,635,standard
4_8C_80PER_4_8C,460596,4.8,80,4.8,498,standard
4_8C_80PER_4_8C,460597,4.8,80,4.8,524,standard
4_8C_80PER_4_8C,460611,4.8,80,4.8,487,standard
4_8C_80PER_4_8C,737254,4.8,80,4.8,499,standard
4_8C_80PER_4_8C,737273,4.8,80,4.8,523,standard
4_8C_80PER_4_8C,737298,4.8,80,4.8,519,standard
4_8C_80PER_4_8C_NEWSTRUCTURE,737214,4.8,80,4.8,1061,standard
4_8C_80PER_4_8C_NEWSTRUCTURE,737277,4.8,80,4.8,1077,standard
4_8C_80PER_4_8C_NEWSTRUCTURE,737299,4.8,80,4.8,2189,standard
4_8C_80PER_4_8C_NEWSTRUCTURE,737307,4.8,80,4.8,1835,standard
4_8C_80PER_4_8C_NEWSTRUCTURE,737338,4.8,80,4.8,834,standard
4_8C_80PER_4_8C_NEWSTRUCTURE,737345,4.8,80,4.8,1637,standard
4_8C_80PER_4_8C_NEWSTRUCTURE,737364,4.8,80,4.8,1389,standard
4_8C_80PER_4_8C_NEWSTRUCTURE,737377,4.8,80,4.8,1641,standard
4_8C_80PER_4_8C_NEWSTRUCTURE,739484,4.8,80,4.8,1800,standard
4_8C_80PER_4_8C_SLOWCYCLE,737351,4.8,80,4.8,101,standard
4_9C_27PER_4_75C,460614,4.9,27,4.75,495,standard
4_9C_61PER_4_5C,460610,4.9,61,4.5,541,standard
4_9C_69PER_4_25C,460604,4.9,69,4.25,522,standard
5C_67PER_4C_NEWSTRUCTURE,737233,5.0,67,4.0,827,standard
5C_67PER_4C_NEWSTRUCTURE,737304,5.0,67,4.0,1283,standard
5C_67PER_4C_NEWSTRUCTURE,737315,5.0,67,4.0,812,standard
5C_67PER_4C_NEWSTRUCTURE,737334,5.0,67,4.0,1934,standard
5C_67PER_4C_NEWSTRUCTURE,737367,5.0,67,4.0,1045,standard
5C_67PER_4C_NEWSTRUCTURE,737368,5.0,67,4.0,824,standard
5_2C_10PER_4_75C,460527,5.2,10,4.75,507,standard
5_2C_37PER_4_5C,460608,5.2,37,4.5,519,standard
5_2C_50PER_4_25C,460631,5.2,50,4.25,544,standard
5_2C_50PER_4_25C,720603,5.2,50,4.25,439,standard
5_2C_50PER_4_25C,737236,5.2,50,4.25,467,standard
5_2C_50PER_4_25C,737244,5.2,50,4.25,497,standard
5_2C_50PER_4_25C,739478,5.2,50,4.25,468,standard
5_2C_58PER_4C,460641,5.2,58,4.0,546,standard
5_2C_58PER_4C,737291,5.2,58,4.0,496,standard
5_2C_58PER_4C,737318,5.2,58,4.0,511,standard
5_2C_58PER_4C,737383,5.2,58,4.0,470,standard
5_2C_58PER_4C_NEWSTRUCTURE,737245,5.2,58,4.0,874,standard
5_2C_58PER_4C_NEWSTRUCTURE,737286,5.2,58,4.0,1190,standard
5_2C_58PER_4C_SLOWCYCLE,737258,5.2,58,4.0,459,standard
5_2C_66PER_3_5C,460492,5.2,66,3.5,526,standard
5_2C_71PER_3C,460628,5.2,71,3.0,486,standard
5_3C_54PER_4C_NEWSTRUCTURE,737259,5.3,54,4.0,988,standard
5_3C_54PER_4C_NEWSTRUCTURE,737270,5.3,54,4.0,1038,standard
5_3C_54PER_4C_NEWSTRUCTURE,737313,5.3,54,4.0,1062,standard
5_3C_54PER_4C_NEWSTRUCTURE,737350,5.3,54,4.0,1157,standard
5_3C_54PER_4C_NEWSTRUCTURE,737361,5.3,54,4.0,1155,standard
5_3C_54PER_4C_NEWSTRUCTURE,737369,5.3,54,4.0,939,standard
5_4C-40PER_3_6C,464898,5.4,40,3.6,878,standard
5_4C-50PER_3C,463882,5.4,50,3.0,787,standard
5_4C-50PER_3_6C,460658,5.4,50,3.6,896,standard
5_4C-60PER_3C,453113,5.4,60,3.0,718,standard
5_4C-60PER_3_6C,460522,5.4,60,3.6,856,standard
5_4C-70PER_3C,453240,5.4,70,3.0,690,standard
5_4C-80PER_5_4C,464002,5.4,80,5.4,533,standard
5_6C_19PER_4_6C_NEWSTRUCTURE,737274,5.6,19,4.6,1145,standard
5_6C_19PER_4_6C_NEWSTRUCTURE,737276,5.6,19,4.6,816,standard
5_6C_19PER_4_6C_NEWSTRUCTURE,737287,5.6,19,4.6,1027,standard
5_6C_19PER_4_6C_NEWSTRUCTURE,737319,5.6,19,4.6,815,standard
5_6C_19PER_4_6C_NEWSTRUCTURE,739476,5.6,19,4.6,1047,standard
5_6C_19PER_4_6C_NEWSTRUCTURE,739477,5.6,19,4.6,1092,standard
5_6C_25PER_4_5C,460528,5.6,25,4.5,560,standard
5_6C_26PER_4_5C,737289,5.6,26,4.5,494,standard
5_6C_26PER_4_5C,737295,5.6,26,4.5,513,standard
5_6C_26PER_4_5C,737327,5.6,26,4.5,446,standard
5_6C_26PER_4_5C,737363,5.6,26,4.5,429,standard
5_6C_26PER_4_5C,739479,5.6,26,4.5,463,standard
5_6C_26PER_4_5C_NEWSTRUCTURE,737335,5.6,26,4.5,1252,standard
5_6C_26PER_4_5C_NEWSTRUCTURE,739480,5.6,26,4.5,819,standard
5_6C_36PER_4_3C_NEWSTRUCTURE,737213,5.6,36,4.3,827,standard
5_6C_36PER_4_3C_NEWSTRUCTURE,737251,5.6,36,4.3,849,standard
5_6C_36PER_4_3C_NEWSTRUCTURE,737280,5.6,36,4.3,1114,standard
5_6C_36PER_4_3C_NEWSTRUCTURE,737314,5.6,36,4.3,931,standard
5_6C_36PER_4_3C_NEWSTRUCTURE,737365,5.6,36,4.3,922,standard
5_6C_36PER_4_3C_NEWSTRUCTURE,737387,5.6,36,4.3,857,standard
5_6C_38PER_4_25C,460511,5.6,38,4.25,502,standard
5_6C_47PER_4C,460649,5.6,47,4.0,487,standard
5_6C_58PER_3_5C,460627,5.6,58,3.5,480,standard
5_6C_5PER_4_75C,460526,5.6,5,4.75,530,standard
5_6C_65PER_3C,460513,5.6,65,3.0,452,standard
5_9C_15PER_4_6C_NEWSTRUCTURE,737320,5.9,15,4.6,857,standard
5_9C_60PER_3_1C_NEWSTRUCTURE,737279,5.9,60,3.1,730,standard
6C-30PER_3_6C,460433,6.0,30,3.6,890,standard
6C-40PER_3C,460617,6.0,40,3.0,853,standard
6C-40PER_3_6C,463198,6.0,40,3.6,841,standard
6C-50PER_3C,460507,6.0,50,3.0,859,standard
6C-50PER_3_6C,460615,6.0,50,3.6,708,standard
6C-60PER_3C,460640,6.0,60,3.0,730,standard
6C_20PER_4_5C,460473,6.0,20,4.5,492,standard
6C_31PER_4_25C,460498,6.0,31,4.25,487,standard
6C_40PER_4C,460474,6.0,40,4.0,479,standard
6C_4PER_4_75C,460613,6.0,4,4.75,514,standard
6C_52PER_3_5C,460678,6.0,52,3.5,449,standard
6C_60PER_3C,460599,6.0,60,3.0,745,standard
6C_60PER_3C,737281,6.0,60,3.0,411,standard
7C-30PER_3_6C,460622,7.0,30,3.6,702,standard
7C-40PER_3C,460601,7.0,40,3.0,647,standard
7C-40PER_3_6C,453773,7.0,40,3.6,616,standard
80PER_3_6C,460514,3.6,80,3.6,662,inferred_from_legacy_shorthand
80PER_3_6C,460623,3.6,80,3.6,1060,inferred_from_legacy_shorthand
80PER_4C,464977,4.0,80,4.0,208,inferred_from_legacy_shorthand
8C-15PER_3_6C,463229,8.0,15,3.6,965,standard
8C-25PER_3_6C,460636,8.0,25,3.6,650,standard
8C-35PER_3_6C,460656,8.0,35,3.6,598,standard
