base_t,next_t,delta_global,weight_global,delta_q1,weight_q1,delta_q2,weight_q2,delta_q3,weight_q3,delta_q4,weight_q4,scheme
3.6,4.6,0.004841592612320177,0.01953859869301164,0.004620601795969318,0.02318466641382027,0.003182936924979779,0.02096255593504341,0.0018601833309629845,0.017720037893847757,0.009682958779472261,0.01646581375226484,quantile4
3.7,4.7,0.005968021816645994,0.01944980721295449,0.005093238273972397,0.02310757515300777,0.007225753350304797,0.02119951148599381,0.0027461091939817175,0.01749012152812814,0.008806113374756544,0.01619087976086472,quantile4
3.8000000000000003,4.800000000000001,0.005022477392571735,0.01688553421208024,0.0016851671767889793,0.020047554859774958,0.008942642766996732,0.01880402761278166,0.002339460540093184,0.014640768227767739,0.007144287550227282,0.014209414834861787,quantile4
3.9000000000000004,4.9,0.0031581732920292907,0.013834613959689155,-0.0022348961532870676,0.016385215385775437,0.008535115117962653,0.015801997861668422,0.0007308475928735061,0.011131281232549436,0.005636586119344223,0.012131543328897149,quantile4
4.0,5.0,0.0015823509692518296,0.011333177639357973,-0.0049111998008204965,0.013435416705433871,0.006270350334852483,0.013292290067423834,-0.0002881468044097516,0.008288869144315415,0.005292476556620584,0.01039019595486764,quantile4
4.1000000000000005,5.1000000000000005,0.0008179675376692797,0.009448073485093855,-0.005596658802149731,0.011361173494350747,0.003495926061435047,0.011442871983626863,-0.0003533297111671261,0.006377401506040864,0.005749321019370971,0.008675818554529794,quantile4
4.200000000000001,5.200000000000001,0.009619008375651049,0.008457133806974501,-0.001589156966225349,0.010462813903508386,0.008313613854886963,0.010655922629964657,0.009205235001127786,0.005426372926806884,0.02255432720202325,0.007364468258286232,quantile4
4.300000000000001,5.300000000000001,-0.004737801450819453,0.00926162915879052,-0.0036870677470198458,0.01150969291227656,-0.011205982668925458,0.011775056960110719,-0.013680873570195248,0.005800917245582492,0.009551467209012792,0.008051359087580551,quantile4
4.4,5.4,-0.0030060397233700907,0.013092661504119717,-0.0006030098672434903,0.015223739960548766,-0.012980218757342756,0.01554970866103186,-0.011768504363744013,0.008267546442427607,0.013232467554630083,0.013354808725066898,quantile4
4.500000000000001,5.500000000000001,-0.003270261186519043,0.021095354956907245,0.0002633783632834611,0.021923084584384363,-0.014721398014813,0.022323257314458708,-0.01236693535064011,0.013826385884922923,0.013636567823721834,0.02610729063588863,quantile4
4.600000000000001,5.600000000000001,-0.00024233776868265455,0.033093367138816956,0.003362991554162965,0.030939847938219942,-0.011818734950637112,0.031462400151038475,-0.009482234893541398,0.02276278072812303,0.016859919632380062,0.04659161588078703,quantile4
4.700000000000001,5.700000000000001,-0.00019090084320064928,0.0460331000924821,0.0024724624952964505,0.03996443423093762,-0.011939885572268142,0.04064897303901985,-0.008994297994604047,0.03324531424299328,0.017591180368964846,0.06917631795777293,quantile4
4.800000000000001,5.800000000000001,-0.001998609224300412,0.05503618902971906,-0.000227284436315639,0.04611779518326273,-0.013555865252179711,0.0469208599432921,-0.010394493509279037,0.041738779842756715,0.01608018642486627,0.08397335527639918,quantile4
4.900000000000001,5.900000000000001,-0.0018108935480234429,0.05760140171180225,-0.0008096308120251972,0.04869288255268431,-0.012763054978984917,0.049487575383168045,-0.009416280397992789,0.04605451526550438,0.015649946173710932,0.0848499746593676,quantile4
5.000000000000002,6.000000000000002,0.014312032452902733,0.05621375888207059,0.010961197662566547,0.050091585592934786,0.0020880008738206764,0.05078564387206372,0.008569774103960091,0.04782525278433912,0.035538383002844204,0.07523314590190161,quantile4
5.100000000000001,6.100000000000001,0.01432330502329803,0.05566767675324311,0.010679510660511522,0.05311245821276008,0.003768898383896807,0.0537674844426104,0.008974738194982228,0.05106800409032072,0.033791633706248325,0.06431070549334388,quantile4
5.200000000000001,6.200000000000001,0.00526092929883589,0.058360114194573764,0.007094533715176115,0.05797847212910839,-0.0010792086384873326,0.05875423185101656,-0.0005818942704377941,0.058156010528980576,0.015548482389893648,0.05854240297165793,quantile4
5.300000000000002,6.300000000000002,0.01900079900476856,0.06292821325027542,0.013203105218307429,0.0627484774099824,0.019521605163504173,0.06367955232338297,0.02020583925276314,0.06747752533022441,0.023088900816784483,0.058022727840150105,quantile4
5.400000000000002,6.400000000000002,0.017014266095302686,0.0663640853797309,0.01084103625200145,0.06548338081915653,0.019833158609517763,0.06635221990895669,0.01848687963085263,0.07477797440833332,0.01892830624894634,0.059146677160179635,quantile4
5.500000000000002,6.500000000000002,0.0170301063621839,0.06611681997908538,0.010437125777479704,0.06488614259704378,0.0196823242827663,0.065390249964057,0.019163947815649125,0.07630054276126243,0.018871046332775955,0.05821597964196051,quantile4
5.600000000000001,6.600000000000001,0.031659818742704585,0.061172503833307655,0.010021658445584378,0.06030613459337662,0.012749908001375432,0.06032842140823581,0.05007269318652525,0.07125208303364011,0.053767271697609934,0.05313777018951973,quantile4
5.700000000000002,6.700000000000002,0.031676597045846536,0.053002216095509876,0.011060303426747988,0.05293690011355394,0.010544814493599149,0.05258799593858228,0.05112466510360795,0.06248680210068141,0.05393641337071643,0.044368243878600507,quantile4
5.8000000000000025,6.8000000000000025,0.03371357430035944,0.04484941804041358,0.01384226512378776,0.04572416297106231,0.010675055249491033,0.04516478575177167,0.05459568765071875,0.054278409191285654,0.05569235792276292,0.03468181561485334,quantile4
5.900000000000002,6.900000000000002,0.03379720778375018,0.03845893017448874,0.01456194579535475,0.04018246846891815,0.009556968538638935,0.03950868053114481,0.055559821972947815,0.048087894237721085,0.05545531980041685,0.026594774040507193,quantile4
6.000000000000002,7.000000000000002,0.01816777585648114,0.03234135726185854,0.002915185354294296,0.03452614931258806,-0.0043097448497635,0.0338196345008626,0.039209892164511456,0.0413750815212443,0.03480366207709779,0.020201868487904284,quantile4
6.100000000000002,7.100000000000002,0.018089245392673974,0.02449929030238634,0.0029335767640598963,0.02655752462136203,-0.004220904175905217,0.02593597256694656,0.038361904390355445,0.031644524358034436,0.035228760791136224,0.014329528884418954,quantile4
6.200000000000003,7.200000000000003,0.017978372438898105,0.015559219826582668,0.0027677438733457746,0.017040281686896166,-0.0035951961219006195,0.01660252904559124,0.03678106234903258,0.020129758876036817,0.03590633234798318,0.008779517889429548,quantile4
6.3000000000000025,7.3000000000000025,0.017934100054796766,0.007974785939163438,0.002591777294565799,0.008797728124496572,-0.0028246656064163174,0.008557254724038826,0.035388496555595034,0.010302753436861836,0.03652834642660271,0.004407889326453542,quantile4
6.400000000000002,7.400000000000002,0.018158155780845252,0.0032914584876493464,0.0025665479062803014,0.0036584045750424326,-0.002227327427489162,0.003559917424255399,0.03533044950877498,0.004252810676334774,0.03691237668477704,0.0017661633068283185,quantile4
6.500000000000003,7.500000000000003,0.01918596584487441,0.0012864987735514855,0.0029177096024793872,0.001467443016694961,-0.0018097539906693596,0.0014523821681404047,0.038543387257955315,0.0017024666647494626,0.03704607565919685,0.0005581170365947335,quantile4
6.600000000000003,7.600000000000003,0.00477215775052642,0.0010561078449284802,0.0021285931366009678,0.0012858194909426265,0.0008954322671073097,0.0013362247682108138,0.015870416661542635,0.0015078379006059203,0.0002089818531661029,0.00013836229151704247,quantile4
6.700000000000003,7.700000000000003,0.010857550650012225,0.0019696239640077163,0.0045367712729527075,0.0024551701029689073,0.0016682626095162983,0.002595482385974766,0.03733500016652433,0.0028939437250056575,-7.413887841627524e-05,2.684160857042628e-05,quantile4
6.8000000000000025,7.8000000000000025,0.019921356466575703,0.003594251561882782,0.008130917635335733,0.004491207840212246,0.0027802390238208835,0.004756361010173459,0.06935901434855465,0.005297151940109187,-0.0005180127526103426,4.069199222939143e-06,quantile4
6.900000000000003,7.900000000000003,0.028795457085588647,0.005219485882363262,0.011650818218755396,0.006523324812361028,0.0038636374804007926,0.006909484448381721,0.10071998382060555,0.007694374832705971,-0.0009555009608511569,4.827584176234997e-07,quantile4
7.0000000000000036,8.000000000000004,0.03257385542606383,0.005913540971127274,0.013149573125342269,0.007390870230552438,0.004324615308697588,0.007828481936979947,0.11407322056882073,0.008717705489755933,-0.0011419435893184574,5.981053331917009e-08,quantile4
