share_feature,cross_bin,spearman_corr,spearman_abs,rf_perm_importance,rf_perm_importance_std,score_corr_norm,score_perm_norm,combined_score,soc_bin,rate_bin,temp_bin,soc_label,rate_label,temp_label,cross_label,rank_combined
share_27,27,0.4194982255708968,0.4194982255708968,2.005772301489913e-05,6.864422676523117e-07,1.0,0.8660357973242215,0.9330178986621107,2,2,2,"[10,90)","[0.434,1.99)","[31,32)",s2_r2_t2,1
share_49,49,-0.3154947449239018,0.3154947449239018,2.3160385606312338e-05,3.2199995891566904e-07,0.7520764706323698,1.0,0.8760382353161849,3,2,4,"[90,100]","[0.434,1.99)","[34,36)",s3_r2_t4,2
share_28,28,0.4092187136671045,0.4092187136671045,1.6159892081883226e-05,2.7724968063654984e-07,0.9754956963410206,0.6977384727773646,0.8366170845591926,2,2,3,"[10,90)","[0.434,1.99)","[32,34)",s2_r2_t3,3
share_50,50,-0.3818577859084763,0.3818577859084763,9.298431709625738e-06,1.9777373638668812e-07,0.9102727082785739,0.401480004162429,0.6558763562205014,3,2,5,"[90,100]","[0.434,1.99)","[36,60]",s3_r2_t5,4
share_41,41,0.2171895558135893,0.2171895558135893,1.52681937771447e-05,3.065857246455536e-07,0.5177365303941756,0.6592374598885509,0.5884869951413632,3,1,1,"[90,100]","[0,0.434)","[20,31)",s3_r1_t1,5
share_30,30,-0.1322989293275952,0.1322989293275952,1.920296434526074e-05,3.0662207127292865e-07,0.31537422869321813,0.8291297334888497,0.5722519810910339,2,2,5,"[10,90)","[0.434,1.99)","[36,60]",s2_r2_t5,6
share_29,29,0.15330343663282925,0.15330343663282925,1.487705205909643e-05,4.172091462465958e-07,0.3654447797108033,0.6423490658567319,0.5038969227837676,2,2,4,"[10,90)","[0.434,1.99)","[34,36)",s2_r2_t4,7
share_25,25,-0.06353256975146097,0.06353256975146097,1.943685890254919e-05,5.243487016231463e-07,0.1514489594443439,0.8392286394943137,0.4953387994693288,2,1,5,"[10,90)","[0,0.434)","[36,60]",s2_r1_t5,8
share_44,44,-0.3388947448812318,0.3388947448812318,3.884832660050541e-06,9.347017894632973e-08,0.8078573977757083,0.1677360958529004,0.48779674681430435,3,1,4,"[90,100]","[0,0.434)","[34,36)",s3_r1_t4,9
share_43,43,-0.24706982489804036,0.24706982489804036,8.892955208293363e-06,2.5987070401359564e-07,0.5889651250891516,0.38397267469802393,0.48646889989358777,3,1,3,"[90,100]","[0,0.434)","[32,34)",s3_r1_t3,10
share_55,55,-0.27742731441820956,0.27742731441820956,6.100921702805419e-06,1.738912476967435e-07,0.6613313180065485,0.2634205581250175,0.46237593806578303,3,3,5,"[90,100]","[1.99,4.22)","[36,60]",s3_r3_t5,11
share_35,35,-0.2393621366808968,0.2393621366808968,6.7703960925531415e-06,1.5471277179438213e-07,0.5705915355306876,0.29232657036193205,0.4314590529463098,2,3,5,"[10,90)","[1.99,4.22)","[36,60]",s2_r3_t5,12
share_47,47,0.24943171552537996,0.24943171552537996,5.589506100237238e-06,4.1243475917917267e-07,0.594595400697887,0.24133907764963222,0.4179672391737596,3,2,2,"[90,100]","[0.434,1.99)","[31,32)",s3_r2_t2,13
share_26,26,0.2120026318449447,0.2120026318449447,6.154171380464135e-06,8.910438142506336e-08,0.5053719394317568,0.2657197287245003,0.3855458340781286,2,2,1,"[10,90)","[0.434,1.99)","[20,31)",s2_r2_t1,14
share_45,45,-0.2505490819293378,0.2505490819293378,1.1452804259025777e-06,8.818154967425296e-08,0.5972589790775982,0.04944997226602448,0.3233544756718113,3,1,5,"[90,100]","[0,0.434)","[36,60]",s3_r1_t5,15
share_38,38,0.22466788168710491,0.22466788168710491,2.35405379877884e-06,1.6875447161776298e-07,0.5355633659268845,0.10164139055341312,0.3186023782401488,2,4,3,"[10,90)","[4.22,7.75]","[32,34)",s2_r4_t3,16
share_10,10,-0.23138682309669506,0.23138682309669506,1.8773655815378068e-06,2.1372009425892345e-07,0.551579980539369,0.08105934043801641,0.3163196604886927,1,2,5,"[0,10)","[0.434,1.99)","[36,60]",s1_r2_t5,17
share_37,37,0.20254676734351396,0.20254676734351396,2.7443661613575804e-06,1.9606035747943247e-07,0.4828310467055427,0.11849397535978876,0.3006625110326657,2,4,2,"[10,90)","[4.22,7.75]","[31,32)",s2_r4_t2,18
share_23,23,0.19929144009090433,0.19929144009090433,2.603515503989865e-06,2.2489590886746258e-07,0.4750709965928648,0.11241244201393087,0.2937417193033978,2,1,3,"[10,90)","[0,0.434)","[32,34)",s2_r1_t3,19
share_15,15,-0.22824999242671384,0.22824999242671384,3.960402969384799e-07,9.215666207139343e-08,0.5441024026170493,0.017099900825076918,0.28060115172106315,1,3,5,"[0,10)","[1.99,4.22)","[36,60]",s1_r3_t5,20
share_07,7,0.09425813897239164,0.09425813897239164,7.706421625306702e-06,2.605833252032095e-07,0.22469258086638,0.3327415076891606,0.27871704427777033,1,2,2,"[0,10)","[0.434,1.99)","[31,32)",s1_r2_t2,21
share_46,46,0.19723922003177935,0.19723922003177935,1.986783235998918e-06,2.2790072568234034e-07,0.4701789137805189,0.08578368554698944,0.2779812996637542,3,2,1,"[90,100]","[0.434,1.99)","[20,31)",s3_r2_t1,22
share_22,22,0.1636886866830033,0.1636886866830033,1.7889051212744918e-06,1.4460076666240447e-07,0.3902011419958659,0.07723986775016939,0.23372050487301765,2,1,2,"[10,90)","[0,0.434)","[31,32)",s2_r1_t2,23
share_17,17,0.1680717024874321,0.1680717024874321,1.4973298166759613e-06,1.0816873353098809e-07,0.40064937642752285,0.06465047007973242,0.23264992325362763,1,4,2,"[0,10)","[4.22,7.75]","[31,32)",s1_r4_t2,24
share_12,12,0.07843573880358459,0.07843573880358459,5.650951497037766e-06,2.5268578035071665e-07,0.18697513844508185,0.24399211624082828,0.21548362734295506,1,3,2,"[0,10)","[1.99,4.22)","[31,32)",s1_r3_t2,25
share_06,6,0.05682622382007985,0.05682622382007985,6.0776198069577996e-06,1.9954749843433844e-07,0.13546236993671384,0.26241444811270115,0.1989384090247075,1,2,1,"[0,10)","[0.434,1.99)","[20,31)",s1_r2_t1,26
share_48,48,-0.07316037323140892,0.07316037323140892,5.112693157362447e-06,1.6187157723583246e-07,0.17439972036078266,0.22075164223384036,0.1975756812973115,3,2,3,"[90,100]","[0.434,1.99)","[32,34)",s3_r2_t3,27
share_05,5,-0.16501922395682278,0.16501922395682278,3.1789936735372e-08,2.7232723553627743e-08,0.39337287716115477,0.0013725996309278928,0.19737273839604133,1,1,5,"[0,10)","[0,0.434)","[36,60]",s1_r1_t5,28
share_40,40,-0.1434692148620497,0.1434692148620497,1.0101690902157918e-06,9.806661506264892e-08,0.3420019588087694,0.043616246611216665,0.19280910270999302,2,4,5,"[10,90)","[4.22,7.75]","[36,60]",s2_r4_t5,29
share_02,2,0.03548324053047406,0.03548324053047406,6.326456592031614e-06,2.424570624357991e-07,0.08458495976278511,0.27315851728769774,0.17887173852524144,1,1,2,"[0,10)","[0,0.434)","[31,32)",s1_r1_t2,30
share_39,39,0.08112945415641644,0.08112945415641644,3.7843041295091354e-06,1.6398475523806494e-07,0.19339641793718448,0.16339555799441124,0.17839598796579786,2,4,4,"[10,90)","[4.22,7.75]","[34,36)",s2_r4_t4,31
share_20,20,-0.1466504845307484,0.1466504845307484,1.6338064335898445e-07,8.719200405567945e-08,0.3495854704299909,0.007054314471968689,0.1783198924509798,1,4,5,"[0,10)","[4.22,7.75]","[36,60]",s1_r4_t5,32
share_11,11,0.07753084319869476,0.07753084319869476,3.6240706823312275e-06,1.3161048947887156e-07,0.1848180480219737,0.15647713055966955,0.17064758929082163,1,3,1,"[0,10)","[1.99,4.22)","[20,31)",s1_r3_t1,33
share_53,53,-0.1304140613321907,0.1304140613321907,1.3887007618373866e-07,1.9729044249060815e-08,0.31088107978218427,0.005996017447390417,0.15843854861478734,3,3,3,"[90,100]","[1.99,4.22)","[32,34)",s3_r3_t3,34
share_24,24,0.08517778272882273,0.08517778272882273,2.335650788437766e-06,2.2655626326972738e-07,0.20304682484152098,0.1008468005731816,0.15194681270735128,2,1,4,"[10,90)","[0,0.434)","[34,36)",s2_r1_t4,35
share_42,42,0.047327866840836764,0.047327866840836764,3.6768996984742646e-06,1.4100866174499176e-07,0.11282018362873426,0.15875813818368073,0.1357891609062075,3,1,2,"[90,100]","[0,0.434)","[31,32)",s3_r1_t2,36
share_18,18,0.10977269235250892,0.10977269235250892,0.0,3.5944136817823126e-08,0.26167617801748466,0.0,0.13083808900874233,1,4,3,"[0,10)","[4.22,7.75]","[32,34)",s1_r4_t3,37
share_52,52,-0.10661715983035065,0.10661715983035065,0.0,1.5495569091386067e-08,0.25415401861415493,0.0,0.12707700930707747,3,3,2,"[90,100]","[1.99,4.22)","[31,32)",s3_r3_t2,38
share_54,54,-0.09681915342751195,0.09681915342751195,3.892540617953354e-07,6.919430293276257e-08,0.23079752791743133,0.01680689036927108,0.1238022091433512,3,3,4,"[90,100]","[1.99,4.22)","[34,36)",s3_r3_t4,39
share_16,16,0.08211482702200298,0.08211482702200298,8.846644780705827e-07,1.524975821946392e-07,0.1957453500792586,0.03819731213065245,0.11697133110495553,1,4,1,"[0,10)","[4.22,7.75]","[20,31)",s1_r4_t1,40
share_36,36,0.0606671827200838,0.0606671827200838,1.4599647905399348e-06,5.495962583352054e-08,0.1446184489517723,0.06303715384350177,0.10382780139763703,2,4,1,"[10,90)","[4.22,7.75]","[20,31)",s2_r4_t1,41
share_03,3,-0.030890796833924913,0.030890796833924913,2.940279181504474e-06,1.2792884047235788e-07,0.07363749105704918,0.12695294592604295,0.10029521849154607,1,1,3,"[0,10)","[0,0.434)","[32,34)",s1_r1_t3,42
share_21,21,0.06751533663648333,0.06751533663648333,2.7552851909089305e-07,8.579625749289303e-08,0.1609430803779955,0.011896542819900116,0.08641981159894782,2,1,1,"[10,90)","[0,0.434)","[20,31)",s2_r1_t1,43
share_34,34,0.05430983083908612,0.05430983083908612,7.7942217675152e-07,1.5094057190131853e-07,0.12946379156950108,0.033653246970943754,0.08155851927022242,2,3,4,"[10,90)","[1.99,4.22)","[34,36)",s2_r3_t4,44
share_33,33,0.04525018957319773,0.04525018957319773,6.613501141450778e-07,4.700750474726926e-08,0.10786741591485058,0.02855522897532533,0.06821132244508796,2,3,3,"[10,90)","[1.99,4.22)","[32,34)",s2_r3_t3,45
share_32,32,-0.02720289036451544,0.02720289036451544,1.6244859888029435e-06,7.692022554245017e-08,0.06484625847342958,0.07014071425305594,0.06749348636324276,2,3,2,"[10,90)","[1.99,4.22)","[31,32)",s2_r3_t2,46
share_14,14,-0.05477863213545696,0.05477863213545696,0.0,7.125205194068907e-08,0.13058132024493907,0.0,0.06529066012246953,1,3,4,"[0,10)","[1.99,4.22)","[34,36)",s1_r3_t4,47
share_01,1,0.0160589067726568,0.0160589067726568,1.9027389845186277e-06,6.776942108402546e-08,0.03828122693678185,0.08215489227433408,0.06021805960555796,1,1,1,"[0,10)","[0,0.434)","[20,31)",s1_r1_t1,48
share_04,4,-0.05029323215346108,0.05029323215346108,0.0,4.205438868311496e-08,0.11988902237909783,0.0,0.05994451118954892,1,1,4,"[0,10)","[0,0.434)","[34,36)",s1_r1_t4,49
share_51,51,-0.04729354332111536,0.04729354332111536,0.0,0.0,0.11273836321179521,0.0,0.05636918160589761,3,3,1,"[90,100]","[1.99,4.22)","[20,31)",s3_r3_t1,50
share_09,9,-0.046636679876624086,0.046636679876624086,0.0,7.78578191603043e-08,0.11117253192944034,0.0,0.05558626596472017,1,2,4,"[0,10)","[0.434,1.99)","[34,36)",s1_r2_t4,51
share_08,8,0.02884149186438519,0.02884149186438519,4.147573727546753e-07,8.468525394829914e-08,0.0687523572361592,0.017908051264985573,0.043330204250572386,1,2,3,"[0,10)","[0.434,1.99)","[32,34)",s1_r2_t3,52
share_31,31,0.006679804835004934,0.006679804835004934,1.3241812234510882e-06,5.2355023846051804e-08,0.015923320833870897,0.05717440313645659,0.036548861985163744,2,3,1,"[10,90)","[1.99,4.22)","[20,31)",s2_r3_t1,53
share_13,13,0.01653725734841721,0.01653725734841721,2.113654449826483e-07,8.076341043723118e-08,0.03942151918738534,0.009126162602622681,0.02427384089500401,1,3,3,"[0,10)","[1.99,4.22)","[32,34)",s1_r3_t3,54
share_19,19,-0.014453596518600549,0.014453596518600549,0.0,8.464959441157675e-08,0.034454487856130006,0.0,0.017227243928065003,1,4,4,"[0,10)","[4.22,7.75]","[34,36)",s1_r4_t4,55
share_56,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,1,"[90,100]","[4.22,7.75]","[20,31)",s3_r4_t1,56
share_57,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,2,"[90,100]","[4.22,7.75]","[31,32)",s3_r4_t2,57
share_58,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,3,"[90,100]","[4.22,7.75]","[32,34)",s3_r4_t3,58
share_59,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,4,"[90,100]","[4.22,7.75]","[34,36)",s3_r4_t4,59
share_60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,5,"[90,100]","[4.22,7.75]","[36,60]",s3_r4_t5,60
