policy,cell_code,cycles,voltage_mid_v,current_dqdv_ah_per_v,balanced_dqdv_ah_per_v
4_8C-80PER_4_8C,465027,10,3.4337578000000004,-0.004328323229991503,-0.00752234213863517
4_8C-80PER_4_8C,465027,10,3.42358445,-0.02521737331427083,-0.023905711095447587
4_8C-80PER_4_8C,465027,10,3.4133782,-0.041101181463426124,-0.03812043848585429
4_8C-80PER_4_8C,465027,10,3.4033384,-0.05307125077547909,-0.050472567516932396
4_8C-80PER_4_8C,465027,10,3.3932452,-0.062219084348451435,-0.06126814139575903
4_8C-80PER_4_8C,465027,10,3.38313055,-0.06963618528036492,-0.07081320332941131
4_8C-80PER_4_8C,465027,10,3.3730501999999998,-0.07785654818684018,-0.07941379652496633
4_8C-80PER_4_8C,465027,10,3.3629317,-0.07890660260315331,-0.08737596418950168
4_8C-80PER_4_8C,465027,10,3.3528485,-0.09835511585838319,-0.09408075438368373
4_8C-80PER_4_8C,465027,10,3.34283065,-0.10078958529953388,-0.10119124666786265
4_8C-80PER_4_8C,465027,10,3.3328295,-0.11670496049923441,-0.10934939721799308
4_8C-80PER_4_8C,465027,10,3.3227805999999998,-0.1166507836209722,-0.11783332119947242
4_8C-80PER_4_8C,465027,10,3.31272075,-0.13566245055212386,-0.12631938864842007
4_8C-80PER_4_8C,465027,10,3.30269145,-0.13141966788167503,-0.13500730678814576
4_8C-80PER_4_8C,465027,10,3.29264545,-0.152186824576596,-0.14323712720014492
4_8C-80PER_4_8C,465027,10,3.28258945,-0.17165407820959733,-0.15312680911629614
4_8C-80PER_4_8C,465027,10,3.2725601500000003,-0.19257827098801156,-0.17249359403487663
4_8C-80PER_4_8C,465027,10,3.2625456,-0.213338625913359,-0.19902211146138113
4_8C-80PER_4_8C,465027,10,3.252532,-0.24980178194444502,-0.23952163718394964
4_8C-80PER_4_8C,465027,10,3.24249315,-0.3066623178608443,-0.3082877969594159
4_8C-80PER_4_8C,465027,10,3.23243285,-0.38942947942775313,-0.4109270477148257
4_8C-80PER_4_8C,465027,10,3.2222776499999997,-0.5288380362573966,-0.5545419480139405
4_8C-80PER_4_8C,465027,10,3.2127527999999996,-0.7083100796163042,-0.7395761690230335
4_8C-80PER_4_8C,465027,10,3.20502135,-0.9060133397671106,-0.9765111669225459
4_8C-80PER_4_8C,465027,10,3.19914675,-1.2083978365748358,-1.2666040081254055
4_8C-80PER_4_8C,465027,10,3.1946788,-1.591855010191228,-1.5738829658494509
4_8C-80PER_4_8C,465027,10,3.1911187,-1.9363561932314366,-1.9255665337169179
4_8C-80PER_4_8C,465027,10,3.18812845,-2.3367344347908245,-2.3117144780542356
4_8C-80PER_4_8C,465027,10,3.1857381,-2.7119494108681907,-2.708324748511143
4_8C-80PER_4_8C,465027,10,3.1837467999999998,-3.1558038889945728,-3.114324193674696
4_8C-80PER_4_8C,465027,10,3.18185565,-3.5102937224998927,-3.522052150457896
4_8C-80PER_4_8C,465027,10,3.1801715,-3.7813763559466667,-3.929963422280884
4_8C-80PER_4_8C,465027,10,3.1786646999999997,-4.382410553753336,-4.290965567951202
4_8C-80PER_4_8C,465027,10,3.177279,-4.6920340501896165,-4.638687858939029
4_8C-80PER_4_8C,465027,10,3.1759939,-4.945746438732932,-4.9550781191029944
4_8C-80PER_4_8C,465027,10,3.17476175,-5.294178154036804,-5.215157650414156
4_8C-80PER_4_8C,465027,10,3.17373275,-5.554717495055048,-5.46763828919011
4_8C-80PER_4_8C,465027,10,3.1726041,-5.742590732236434,-5.696322305130661
4_8C-80PER_4_8C,465027,10,3.17137435,-5.6959115066514805,-5.887279373855092
4_8C-80PER_4_8C,465027,10,3.1703715499999996,-6.052837379140492,-6.01059796629075
4_8C-80PER_4_8C,465027,10,3.1693992499999997,-6.105246031742059,-6.139967056189928
4_8C-80PER_4_8C,465027,10,3.16836595,-6.177442053944832,-6.249823661471231
4_8C-80PER_4_8C,465027,10,3.167346,-6.570049397448962,-6.351297223826515
4_8C-80PER_4_8C,465027,10,3.1664586,-6.442967132023478,-6.441216246334765
4_8C-80PER_4_8C,465027,10,3.1655264,-6.440245275348699,-6.516569181047838
4_8C-80PER_4_8C,465027,10,3.16451265,-6.462661246353363,-6.596781404836509
4_8C-80PER_4_8C,465027,10,3.1635938,-6.729118218845692,-6.625135725705464
4_8C-80PER_4_8C,465027,10,3.1626301,-6.737810129379355,-6.900816836747334
4_8C-80PER_4_8C,465027,10,3.16168785,-6.821331786830146,-6.790595681437558
4_8C-80PER_4_8C,465027,10,3.16080905,-6.74255186220401,-6.519011282176885
4_8C-80PER_4_8C,465027,10,3.1599908,-6.832341702336439,-6.351576098527298
4_8C-80PER_4_8C,465027,10,3.1591134,-7.0165572910806535,-6.380869500243644
4_8C-80PER_4_8C,465027,10,3.1581554499999998,-7.023276295756736,-6.696791849446425
4_8C-80PER_4_8C,465027,10,3.1571417,-7.39632264473635,-7.239096908438928
4_8C-80PER_4_8C,465027,10,3.1562557,-4.418419211814873,-8.033712404304307
4_8C-80PER_4_8C,465027,10,3.1555047,-7.5033085668123345,-9.040295952863305
4_8C-80PER_4_8C,465027,10,3.154624,-10.283436037391606,-10.107389670698566
4_8C-80PER_4_8C,465027,10,3.15379715,-12.146845385756869,-11.162894623578094
4_8C-80PER_4_8C,465027,10,3.1525369000000003,-13.133595481068092,-11.537536850818704
4_8C-80PER_4_8C,465027,10,3.1515727499999997,-13.059525655183059,-11.640604457663082
4_8C-80PER_4_8C,465027,10,3.1511015999999996,-12.965789166470998,-11.445518246175265
4_8C-80PER_4_8C,465027,10,3.1502733000000003,-12.081127251752449,-11.041426317419711
4_8C-80PER_4_8C,465027,10,3.1493425000000004,-9.981783529884819,-9.973037439574155
4_8C-80PER_4_8C,465027,10,3.14841075,-7.748738431086345,-8.830928213556843
4_8C-80PER_4_8C,465027,10,3.1475581999999998,-4.032986354402586,-7.821272743729523
4_8C-80PER_4_8C,465027,10,3.14668035,-6.828063194933524,-7.036913847746652
4_8C-80PER_4_8C,465027,10,3.1456337000000003,-6.7845704119801145,-6.479617795594274
4_8C-80PER_4_8C,465027,10,3.14468005,-6.934502187771955,-6.154026459807509
4_8C-80PER_4_8C,465027,10,3.143878,-6.702074753527374,-6.107956097192755
4_8C-80PER_4_8C,465027,10,3.14299205,-6.570806191718031,-6.302570163181071
4_8C-80PER_4_8C,465027,10,3.1419878,-6.699901516230393,-6.524552233184523
4_8C-80PER_4_8C,465027,10,3.14101645,-6.503765659119042,-6.680036890704625
4_8C-80PER_4_8C,465027,10,3.14004275,-6.163359142852531,-6.407256434174019
4_8C-80PER_4_8C,465027,10,3.1390252,-6.30986904690144,-6.330220906372558
4_8C-80PER_4_8C,465027,10,3.1381091999999997,-6.274289812480387,-6.271868342048949
4_8C-80PER_4_8C,465027,10,3.1370787499999997,-6.287206933449896,-6.21801227325771
4_8C-80PER_4_8C,465027,10,3.13606405,-6.077395353383638,-6.147605233499077
4_8C-80PER_4_8C,465027,10,3.13513185,-6.224252229095324,-6.083741584930024
4_8C-80PER_4_8C,465027,10,3.1340737499999998,-6.04295236258405,-6.0357965870726735
4_8C-80PER_4_8C,465027,10,3.13301565,-5.975513148665967,-5.974327522191066
4_8C-80PER_4_8C,465027,10,3.13200955,-5.952447169675397,-5.8863573651231125
4_8C-80PER_4_8C,465027,10,3.1310029,-5.647449063475606,-5.812161386275821
4_8C-80PER_4_8C,465027,10,3.1299381,-5.733533026074975,-5.744454695888848
4_8C-80PER_4_8C,465027,10,3.1288171,-5.74868574948173,-5.683586179388877
4_8C-80PER_4_8C,465027,10,3.1277037,-5.548406729641791,-5.609196808498491
4_8C-80PER_4_8C,465027,10,3.12658885,-5.538306412780596,-5.548499572278647
4_8C-80PER_4_8C,465027,10,3.1255383500000002,-5.570698517946813,-5.4914371310823995
4_8C-80PER_4_8C,465027,10,3.1244544999999997,-5.46611744323112,-5.433663184757803
4_8C-80PER_4_8C,465027,10,3.1232715,-5.407592601605966,-5.403450363535484
4_8C-80PER_4_8C,465027,10,3.1221408999999998,-5.295373005288644,-5.342519477171599
4_8C-80PER_4_8C,465027,10,3.12101935,-5.256726226212493,-5.292049802319685
4_8C-80PER_4_8C,465027,10,3.1197376,-5.176980956142096,-5.244034226066577
4_8C-80PER_4_8C,465027,10,3.1185212,-5.248354930095203,-5.1855619100663
4_8C-80PER_4_8C,465027,10,3.1173868000000002,-5.153468204876838,-5.12522533240356
4_8C-80PER_4_8C,465027,10,3.1162285499999998,-5.191968514427782,-5.074827032278718
4_8C-80PER_4_8C,465027,10,3.1150446,-4.989608273387856,-5.031945878440368
4_8C-80PER_4_8C,465027,10,3.1137958,-4.966534086412354,-5.005006791716792
4_8C-80PER_4_8C,465027,10,3.11254075,-4.89905199695737,-4.970775326871674
4_8C-80PER_4_8C,465027,10,3.1113147999999997,-4.9307408171124,-4.9558312748538205
4_8C-80PER_4_8C,465027,10,3.10988665,-4.872660210939019,-4.9285750181776855
4_8C-80PER_4_8C,465027,10,3.1085362,-4.904107124101262,-4.890645726409671
4_8C-80PER_4_8C,465027,10,3.10745715,-4.953535093201523,-4.861282119049612
4_8C-80PER_4_8C,465027,10,3.1061830500000003,-4.926380925485283,-4.839228394633408
4_8C-80PER_4_8C,465027,10,3.1048473999999997,-4.812743272418535,-4.804682083792866
4_8C-80PER_4_8C,465027,10,3.10356615,-4.8336578079185895,-4.756713246886106
4_8C-80PER_4_8C,465027,10,3.1023011,-4.59374214408372,-4.711271798320908
4_8C-80PER_4_8C,465027,10,3.1009512,-4.538020913612529,-4.6708254824826545
4_8C-80PER_4_8C,465027,10,3.0995526499999997,-4.707166027364384,-4.634030730262225
4_8C-80PER_4_8C,465027,10,3.0982537,-4.578287405021772,-4.596725445889442
4_8C-80PER_4_8C,465027,10,3.0969591000000003,-4.587425242538259,-4.58420686278598
4_8C-80PER_4_8C,465027,10,3.0955515,-4.527952287239412,-4.570157702051465
4_8C-80PER_4_8C,465027,10,3.0942416,-4.640753943635536,-4.560035983322985
4_8C-80PER_4_8C,465027,10,3.09287595,-4.568533768420909,-4.559076458469509
4_8C-80PER_4_8C,465027,10,3.0914531,-4.563926465765584,-4.545721244676571
4_8C-80PER_4_8C,465027,10,3.0901107999999997,-4.475334278024096,-4.519079561336096
4_8C-80PER_4_8C,465027,10,3.0887766,-4.531224475794515,-4.505622320430776
4_8C-80PER_4_8C,465027,10,3.0874247500000003,-4.395791191905744,-4.478787902901006
4_8C-80PER_4_8C,465027,10,3.0860042500000002,-4.4717754292453264,-4.443964745973164
4_8C-80PER_4_8C,465027,10,3.0845518,-4.406031784873868,-4.3900760990870715
4_8C-80PER_4_8C,465027,10,3.0831742,-4.409718930285596,-4.344405677437639
4_8C-80PER_4_8C,465027,10,3.08178995,-4.285187548216003,-4.286061946093332
4_8C-80PER_4_8C,465027,10,3.080317,-4.223708453228577,-4.219609681652525
4_8C-80PER_4_8C,465027,10,3.07892845,-4.155912603365425,-4.143213343050128
4_8C-80PER_4_8C,465027,10,3.07742405,-4.047946067220905,-4.083337866339923
4_8C-80PER_4_8C,465027,10,3.0758033,-3.974624681265713,-4.010348204744739
4_8C-80PER_4_8C,465027,10,3.07420635,-3.940490443362755,-3.9391736892033125
4_8C-80PER_4_8C,465027,10,3.0726880999999997,-3.8430688881211488,-3.875293768730857
4_8C-80PER_4_8C,465027,10,3.07111455,-3.795739179092788,-3.8122404801252436
4_8C-80PER_4_8C,465027,10,3.0695362,-3.8004914692365697,-3.7542145210664017
4_8C-80PER_4_8C,465027,10,3.0678457999999997,-3.7645233681709227,-3.6921829203550383
4_8C-80PER_4_8C,465027,10,3.0660972500000003,-3.608403191232087,-3.6355149262208326
4_8C-80PER_4_8C,465027,10,3.06443645,-3.5187599168946537,-3.5675461813397202
4_8C-80PER_4_8C,465027,10,3.0627036,-3.5283415264518374,-3.4951597355748105
4_8C-80PER_4_8C,465027,10,3.0609698,-3.3855208344909755,-3.4266673925491524
4_8C-80PER_4_8C,465027,10,3.059072,-3.400812891941455,-3.3478415318238834
4_8C-80PER_4_8C,465027,10,3.05720615,-3.2526856539706928,-3.2714116158262927
4_8C-80PER_4_8C,465027,10,3.05541325,-3.226405281874513,-3.2040895906223357
4_8C-80PER_4_8C,465027,10,3.0533843,-3.0984786135281657,-3.143163950144959
4_8C-80PER_4_8C,465027,10,3.05138205,-3.075207725626733,-3.07806637050835
4_8C-80PER_4_8C,465027,10,3.0494089,-3.0209049722474273,-3.0100000257772663
4_8C-80PER_4_8C,465027,10,3.04734325,-2.925275004619641,-2.9527611927713964
4_8C-80PER_4_8C,465027,10,3.045197,-2.912445037052821,-2.8815004960486363
4_8C-80PER_4_8C,465027,10,3.0430932,-2.8308377719029636,-2.821792492143095
4_8C-80PER_4_8C,465027,10,3.0409336,-2.75603289750938,-2.753193302922805
4_8C-80PER_4_8C,465027,10,3.0386585999999998,-2.706313103213061,-2.691250149613457
4_8C-80PER_4_8C,465027,10,3.036345,-2.6239040881815905,-2.6241818849127165
4_8C-80PER_4_8C,465027,10,3.03388355,-2.5517099499345988,-2.5589174540565516
4_8C-80PER_4_8C,465027,10,3.0315194,-2.4470698511220688,-2.496129422436467
4_8C-80PER_4_8C,465027,10,3.0290141000000004,-2.442741775263526,-2.4302634099547284
4_8C-80PER_4_8C,465027,10,3.0263705,-2.365631631399401,-2.3697196767147313
4_8C-80PER_4_8C,465027,10,3.02378605,-2.330864939596438,-2.3071087524042984
4_8C-80PER_4_8C,465027,10,3.0211410499999998,-2.2571758559362496,-2.2438301559806373
4_8C-80PER_4_8C,465027,10,3.0184474,-2.179138945615271,-2.183323086614225
4_8C-80PER_4_8C,465027,10,3.015584,-2.128050473773879,-2.122726175386357
4_8C-80PER_4_8C,465027,10,3.0125909,-2.056494827087462,-2.061812235795992
4_8C-80PER_4_8C,465027,10,3.0095539000000002,-1.9851859454606648,-1.9951512859129932
4_8C-80PER_4_8C,465027,10,3.00646685,-1.9172948778411993,-1.9342196579042719
4_8C-80PER_4_8C,465027,10,3.00315235,-1.869145632246036,-1.8686858587329953
4_8C-80PER_4_8C,465027,10,2.9998488500000002,-1.8130410075314929,-1.8065504281241935
4_8C-80PER_4_8C,465027,10,2.9964738,-1.7524416217678942,-1.7424786428010932
4_8C-80PER_4_8C,465027,10,2.9928422,-1.6844722128331082,-1.6757919413797782
4_8C-80PER_4_8C,465027,10,2.9891429,-1.6156034986123422,-1.6094550237235583
4_8C-80PER_4_8C,465027,10,2.98524045,-1.5443918182942973,-1.5412848958197607
4_8C-80PER_4_8C,465027,10,2.9811654,-1.4540043605532964,-1.4711565711384993
4_8C-80PER_4_8C,465027,10,2.9768809999999997,-1.402903473683852,-1.398651645253258
4_8C-80PER_4_8C,465027,10,2.972393,-1.3216667668315574,-1.327379549526537
4_8C-80PER_4_8C,465027,10,2.9676828,-1.2575001894046984,-1.257185497014825
4_8C-80PER_4_8C,465027,10,2.96266265,-1.1900281624126259,-1.188323201676245
4_8C-80PER_4_8C,465027,10,2.9573302,-1.1203132542919148,-1.1203464846789815
4_8C-80PER_4_8C,465027,10,2.9516983000000003,-1.0544169273298873,-1.0533482233791638
4_8C-80PER_4_8C,465027,10,2.9457631,-0.9870814483625829,-0.9879173454841899
4_8C-80PER_4_8C,465027,10,2.9393549,-0.9270277688932886,-0.9213423970602137
4_8C-80PER_4_8C,465027,10,2.93243935,-0.8584983480390969,-0.8577194164078323
4_8C-80PER_4_8C,465027,10,2.92501355,-0.7939360993090396,-0.7944533995270933
4_8C-80PER_4_8C,465027,10,2.9170327,-0.7315915583949855,-0.7336593963707333
4_8C-80PER_4_8C,465027,10,2.9084320000000004,-0.6737741994920776,-0.6755617073918297
4_8C-80PER_4_8C,465027,10,2.8989295999999998,-0.6215049092853935,-0.6202389854318274
4_8C-80PER_4_8C,465027,10,2.888906,-0.5672663451255366,-0.5683451475444341
4_8C-80PER_4_8C,465027,10,2.8788886,-0.5184732815686557,-0.5199630492163891
4_8C-80PER_4_8C,465027,10,2.8688716999999997,-0.47482758613606,-0.4761165768120994
4_8C-80PER_4_8C,465027,10,2.8588305,-0.43671348256751463,-0.43618022745037427
4_8C-80PER_4_8C,465027,10,2.8487945000000003,-0.4008150413758282,-0.4002671588892015
4_8C-80PER_4_8C,465027,10,2.8387412999999997,-0.3688703091555499,-0.3684905288865711
4_8C-80PER_4_8C,465027,10,2.82867285,-0.3410954408989384,-0.34096349520047264
4_8C-80PER_4_8C,465027,10,2.818645,-0.31770659159825343,-0.31779921558889634
4_8C-80PER_4_8C,465027,10,2.8086281,-0.29891991624575454,-0.29911084780983177
